uid,time,name,target,info,state,version
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":71,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":72,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":86,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":71,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":66,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":74,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,keydown,input#event-location.col-md-12.form-control,"{""which"":75,""target"":{""jQuery310052748974972119281"":{""events"":{""focus"":[{""type"":""focus"",""origType"":""focus"",""data"":null,""guid"":228,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,input#all-day-event-checkbox1,"{""which"":1,""pageX"":522,""pageY"":381,""target"":{""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":224,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,input#all-day-event-checkbox1,"{""which"":1,""pageX"":522,""pageY"":381,""target"":{""jQuery310052748974972119281"":{""events"":{""change"":[{""type"":""change"",""origType"":""change"",""data"":null,""guid"":224,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,div#content,"{""which"":1,""pageX"":402,""pageY"":617,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,div#content,"{""which"":1,""pageX"":403,""pageY"":618,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":616,""pageY"":707,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,button#create-event-button.btn.btn-primary.btn-md,"{""which"":1,""pageX"":616,""pageY"":707,""target"":{""jQuery310052748974972119281"":{""events"":{""click"":[{""type"":""click"",""origType"":""click"",""data"":null,""guid"":230,""namespace"":""""}]}}}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,td.xdsoft_date.xdsoft_day_of_week4 div,"{""which"":1,""pageX"":752,""pageY"":717,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,td.xdsoft_date.xdsoft_day_of_week4 div,"{""which"":1,""pageX"":752,""pageY"":717,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,mousedown,td.xdsoft_date.xdsoft_day_of_week5 div,"{""which"":1,""pageX"":770,""pageY"":591,""target"":{}}",,B
Windows-Chrome-5311851386640607,1.66788E+12,click,td.xdsoft_date.xdsoft_day_of_week5 div,"{""which"":1,""pageX"":770,""pageY"":591,""target"":{}}",,B
